ProcessLevel	Parent_processName	ProcessID	ProcessName	Symbol
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000250	GlyT2 (SLC6A5)	SLC6A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000160	High affinity carnitine sodium symporter	SLC22A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000029	Hydrogen glucose symporter	SLC45A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000210	Hydrogen vs sodium alanine antiporter	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000210	Hydrogen vs sodium alanine antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter	SLC38A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter	SLC38A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter	SLC38A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter	SLC38A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter	SLC38A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter	SLC38A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter	SLC9A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter	SLC9A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000211	Hydrogen vs sodium asparagine antiporter	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000211	Hydrogen vs sodium asparagine antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000212	Hydrogen vs sodium glutamine antiporter	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000212	Hydrogen vs sodium glutamine antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000212	Hydrogen vs sodium glutamine antiporter	SLC38A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000213	Hydrogen vs sodium glycine antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000214	Hydrogen vs sodium histidine antiporter	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000214	Hydrogen vs sodium histidine antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000215	Hydrogen vs sodium serine antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000083	Hydrogen-associated glucose transporter	SLC45A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000075	NaBC1 (SLC4A11)	SLC4A11
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000225	NaCT (SLC13A5)	SLC13A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000259	NaDC1 (SLC13A2)	SLC13A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000226	NaDC3 (SLC13A3)	SLC13A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000200	NaS1 (SLC13A1)	SLC13A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000148	NBCe1 (SLC4A4)	SLC4A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000149	NBCe2 (SLC4A5)	SLC4A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000150	NBCn1 (SLC4A7)	SLC4A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000151	NBCn2 (SLC4A10)	SLC4A10
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000164	NCC (SLC12A3)	SLC12A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000205	NCKX1 (SLC24A1)	SLC24A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000206	NCKX2 (SLC24A2)	SLC24A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000207	NCKX3 (SLC24A3)	SLC24A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000208	NCKX4 (SLC24A4)	SLC24A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000209	NCKX5 (SLC24A5)	SLC24A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000064	NCLX (SLC8B1)	SLC8B1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000065	NCX1 (SLC8A1)	SLC8A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000066	NCX2 (SLC8A2)	SLC8A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000067	NCX3 (SLC8A3)	SLC8A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000228	NDCBE (SLC4A8)	SLC4A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000254	NET (SLC6A2)	SLC6A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000203	Neutral amino acid vs sodium neutral amino acid antiporter	SLC1A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000203	Neutral amino acid vs sodium neutral amino acid antiporter	SLC1A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000088	NHA1 (SLC9B1)	SLC9B1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000069	NHE1 (SLC9A1)	SLC9A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000091	NHE11 (SLC9C2)	SLC9C2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000092	NHE2 (SLC9A2)	SLC9A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000093	NHE3 (SLC9A3)	SLC9A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000061	NHE4 (SLC9A4)	SLC9A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000094	NHE5 (SLC9A5)	SLC9A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000095	NHE6 (SLC9A6)	SLC9A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000096	NHE7 (SLC9A7)	SLC9A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000097	NHE8 (SLC9A8)	SLC9A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000098	NHE9 (SLC9A9)	SLC9A9
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000257	NKCC1 (SLC12A2)	SLC12A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000258	NKCC2 (SLC12A1)	SLC12A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000189	NPT1 (SLC17A1)	SLC17A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000270	NPT2a (SLC34A1)	SLC34A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000271	NPT2b (SLC34A2)	SLC34A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000272	NPT2c (SLC34A3)	SLC34A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000190	NPT4 (SLC17A3)	SLC17A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000290	NTCP (SLC10A1)	SLC10A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000233	NTT4 (SLC6A17)	SLC6A17
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000251	NTT5 (SLC6A16)	SLC6A16
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000162	OCT6 (SLC22A16)	SLC22A16
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000111	OCTN1 (SLC22A4)	SLC22A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000242	OCTN2 (SLC22A5)	SLC22A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000273	PiT-1 (SLC20A1)	SLC20A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000274	PiT-2 (SLC20A2)	SLC20A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000020	Potassium vs sodium antiporter	SLC24A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000020	Potassium vs sodium antiporter	SLC24A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000020	Potassium vs sodium antiporter	SLC24A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000020	Potassium vs sodium antiporter	SLC24A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000020	Potassium vs sodium antiporter	SLC24A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000020	Potassium vs sodium antiporter	SLC8B1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000236	PROT (SLC6A7)	SLC6A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000191	S17A4 (SLC17A4)	SLC17A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000255	SERT (SLC6A4)	SLC6A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000084	SGLT1 (SLC5A1)	SLC5A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000085	SGLT2 (SLC5A2)	SLC5A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000086	SGLT4 (SLC5A9)	SLC5A9
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000275	SGLT5 (SLC5A10)	SLC5A10
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000234	SIT1 (SLC6A20)	SLC6A20
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000192	SLC17A2	SLC17A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000288	SMCT1 (SLC5A8)	SLC5A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000289	SMCT2 (SLC5A12)	SLC5A12
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000227	SMIT1 (SLC5A3)	SLC5A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000276	SMIT2 (SLC5A11)	SLC5A11
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000238	SMVT (SLC5A)	SLC5A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000218	SNAT1 (SLC38A1)	SLC38A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000219	SNAT2 (SLC38A2)	SLC38A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000281	SNAT3 (SLC38A3)	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000220	SNAT4 (SLC38A4)	SLC38A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000282	SNAT5 (SLC38A5)	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000216	SNAT6 (SLC38A6)	SLC38A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000283	SNAT7 (SLC38A7)	SLC38A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000217	SNAT8 (SLC38A8)	SLC38A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000265	SOAT (SLC10A6)	SLC10A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000038	Sodium acetylcholine symporter	SLC22A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000112	Sodium alanine symporter	SLC6A17
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC1A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC1A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC1A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC38A10
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC38A11
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC38A9
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A15
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A17
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A18
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A19
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A20
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000039	Sodium amino acid symporter	SLC6A9
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC1A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC1A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC38A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC38A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC38A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC38A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC38A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC38A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC7A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000021	Sodium amino acid symporter B2L	SLC7A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000100	Sodium amino acid vs hydrogen antiporter	SLC38A10
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000100	Sodium amino acid vs hydrogen antiporter	SLC38A11
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000252	Sodium- and chloride-dependent sodium:neurotransmitter symporter	SLC6A10
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000239	Sodium ascorbic acid symporter	SLC23A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000022	Sodium ascorbic acid symporter B2L	SLC23A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000116	Sodium aspartate symporter	SLC1A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000116	Sodium aspartate symporter	SLC1A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000116	Sodium aspartate symporter	SLC1A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC13A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC13A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC1A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC1A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC23A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC24A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC24A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC24A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC24A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC24A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC38A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC38A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC38A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC38A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC38A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC38A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC4A11
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC5A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC6A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC6A11
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC6A12
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC6A13
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC7A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC7A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC8A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC8A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC8A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC8B1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC9A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000004	Sodium B2L	SLC9A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC1A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC1A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC24A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC24A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC24A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC24A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC24A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC38A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC38A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC38A8
