Ontology	Scp	Target_gene_symbol	Organism	ReadWrite_references
Custom_transmembrane_transport	GlyT2 (SLC6A5)	SLC6A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	High affinity carnitine sodium symporter	SLC22A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	Hydrogen glucose symporter	SLC45A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Hydrogen vs sodium alanine antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium alanine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium amino acid antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium amino acid antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium amino acid antiporter	SLC38A6	Homo_sapiens	UniProt
Custom_transmembrane_transport	Hydrogen vs sodium amino acid antiporter	SLC38A7	Homo_sapiens	Gen
Custom_transmembrane_transport	Hydrogen vs sodium amino acid antiporter	SLC38A8	Homo_sapiens	UniProt
Custom_transmembrane_transport	Hydrogen vs sodium antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium antiporter	SLC38A6	Homo_sapiens	UniProt
Custom_transmembrane_transport	Hydrogen vs sodium antiporter	SLC38A7	Homo_sapiens	Gen
Custom_transmembrane_transport	Hydrogen vs sodium antiporter	SLC38A8	Homo_sapiens	UniProt
Custom_transmembrane_transport	Hydrogen vs sodium antiporter	SLC9A1	Homo_sapiens	UniProt;PMID: 17417706
Custom_transmembrane_transport	Hydrogen vs sodium antiporter	SLC9A4	Homo_sapiens	PMID: 24692143;UniProt
Custom_transmembrane_transport	Hydrogen vs sodium asparagine antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium asparagine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium glutamine antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium glutamine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium glutamine antiporter	SLC38A7	Homo_sapiens	Gen
Custom_transmembrane_transport	Hydrogen vs sodium glycine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium histidine antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium histidine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen vs sodium serine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Hydrogen-associated glucose transporter	SLC45A1	Homo_sapiens	UniProt
