Ontology	ProcessName	Symbol	Organism	ReadWrite_references
Mbco_na_glucose_tm_transport_human	Glucose L2B	MFSD4B	Homo_sapiens	UniProt-online-2020February08I
Mbco_na_glucose_tm_transport_human	Glucose L2B	NAGLT1	Homo_sapiens	UniProt-online-2020December01
Mbco_na_glucose_tm_transport_human	Glucose L2B	SLC45A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Glucose L2B	SLC5A1	Homo_sapiens	NCBI;PMID: 23506864
Mbco_na_glucose_tm_transport_human	Glucose L2B	SLC5A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Glucose L2B	SLC5A9	Homo_sapiens	PMID: 15607332;GeneCards-online-2021May24
Mbco_na_glucose_tm_transport_human	Glucose L2B by symporter	MFSD4B	Homo_sapiens	UniProt-online-2020February08I
Mbco_na_glucose_tm_transport_human	Glucose L2B by symporter	NAGLT1	Homo_sapiens	UniProt-online-2020December01
Mbco_na_glucose_tm_transport_human	Glucose L2B by symporter	SLC45A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Glucose L2B by symporter	SLC5A1	Homo_sapiens	NCBI;PMID: 23506864
Mbco_na_glucose_tm_transport_human	Glucose L2B by symporter	SLC5A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Glucose L2B by symporter	SLC5A9	Homo_sapiens	PMID: 15607332;GeneCards-online-2021May24
Mbco_na_glucose_tm_transport_human	GlyT1 (SLC6A9)	SLC6A9	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	GlyT2 (SLC6A5)	SLC6A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	High affinity carnitine sodium symporter	SLC22A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Hydrogen glucose symporter	SLC45A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium alanine antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium alanine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium amino acid antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium amino acid antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium amino acid antiporter	SLC38A6	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium amino acid antiporter	SLC38A7	Homo_sapiens	Gen
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium amino acid antiporter	SLC38A8	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium antiporter	SLC38A6	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium antiporter	SLC38A7	Homo_sapiens	Gen
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium antiporter	SLC38A8	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium antiporter	SLC9A1	Homo_sapiens	UniProt;PMID: 17417706
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium antiporter	SLC9A4	Homo_sapiens	PMID: 24692143;UniProt
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium asparagine antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium asparagine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium glutamine antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium glutamine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium glutamine antiporter	SLC38A7	Homo_sapiens	Gen
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium glycine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium histidine antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium histidine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen vs sodium serine antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Hydrogen-associated glucose transporter	SLC45A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NaBC1 (SLC4A11)	SLC4A11	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	NaCT (SLC13A5)	SLC13A5	Homo_sapiens	PMID: 24114175;UniProt
Mbco_na_glucose_tm_transport_human	NaDC1 (SLC13A2)	SLC13A2	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	NaDC3 (SLC13A3)	SLC13A3	Homo_sapiens	NCBI;PMID: 27053689
Mbco_na_glucose_tm_transport_human	NaS1 (SLC13A1)	SLC13A1	Homo_sapiens	UniProt online;PMID: 24193406;PMID: 21298488;PMID: 17002596
Mbco_na_glucose_tm_transport_human	NBCe1 (SLC4A4)	SLC4A4	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NBCe2 (SLC4A5)	SLC4A5	Homo_sapiens	NCBI;PMID: 23506864
Mbco_na_glucose_tm_transport_human	NBCn1 (SLC4A7)	SLC4A7	Homo_sapiens	NCBI;UniProt
Mbco_na_glucose_tm_transport_human	NBCn2 (SLC4A10)	SLC4A10	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	NCC (SLC12A3)	SLC12A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NCKX1 (SLC24A1)	SLC24A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NCKX2 (SLC24A2)	SLC24A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NCKX3 (SLC24A3)	SLC24A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NCKX4 (SLC24A4)	SLC24A4	Homo_sapiens	NCBI
